cycle_id,truck_id,truck_type,shovel_id,timestamp_start,load_time_min,haul_time_min,dump_time_min,return_time_min,queue_time_min,payload_tonnes,shift,material
C001,HT101,CAT 777E,SH01,2026-01-05 06:00:00,3.2,12.5,1.8,9.8,2.1,91.0,Day,coal
C002,HT102,Komatsu HD785,SH02,2026-01-05 06:05:00,3.5,14.2,2.1,11.0,3.4,88.5,Day,coal
C003,HT103,Volvo A60H,SH01,2026-01-05 06:10:00,2.8,10.5,1.5,8.4,1.6,72.0,Day,coal
C004,HT104,CAT 777E,SH03,2026-01-05 06:15:00,3.7,15.8,2.3,12.5,4.2,95.0,Day,overburden
C005,HT101,CAT 777E,SH01,2026-01-05 07:00:00,3.0,12.1,1.7,9.5,2.5,89.5,Day,coal
C006,HT105,Komatsu HD785,SH02,2026-01-05 07:05:00,3.4,13.8,2.0,10.6,3.1,90.0,Day,coal
C007,HT102,Komatsu HD785,SH02,2026-01-05 07:15:00,3.6,14.6,2.2,11.3,3.8,87.0,Day,coal
C008,HT103,Volvo A60H,SH01,2026-01-05 07:20:00,2.6,10.8,1.4,8.6,1.9,75.5,Day,coal
C009,HT104,CAT 777E,SH03,2026-01-05 07:25:00,4.1,16.4,2.5,13.0,5.1,97.5,Day,overburden
C010,HT101,CAT 777E,SH01,2026-01-05 08:00:00,2.9,11.8,1.6,9.3,2.0,92.0,Day,coal
C011,HT105,Komatsu HD785,SH02,2026-01-05 18:00:00,3.3,13.5,2.0,10.4,2.8,89.0,Night,coal
C012,HT102,Komatsu HD785,SH02,2026-01-05 18:10:00,3.8,15.2,2.2,11.7,4.5,85.0,Night,coal
C013,HT103,Volvo A60H,SH01,2026-01-05 18:15:00,2.5,10.2,1.3,8.1,1.5,74.0,Night,coal
C014,HT104,CAT 777E,SH03,2026-01-05 18:20:00,4.3,17.1,2.6,13.4,5.5,99.0,Night,overburden
C015,HT101,CAT 777E,SH01,2026-01-05 19:00:00,3.1,12.3,1.8,9.6,2.3,90.5,Night,coal
C016,HT105,Komatsu HD785,SH02,2026-01-05 19:05:00,3.5,14.0,2.1,10.8,3.0,88.0,Night,coal
C017,HT102,Komatsu HD785,SH02,2026-01-05 19:15:00,3.7,15.0,2.3,11.5,4.0,86.5,Night,coal
C018,HT103,Volvo A60H,SH01,2026-01-05 19:20:00,2.7,10.6,1.4,8.5,1.8,73.5,Night,coal
C019,HT104,CAT 777E,SH03,2026-01-05 19:25:00,4.0,16.2,2.4,12.8,4.9,96.5,Night,overburden
C020,HT101,CAT 777E,SH01,2026-01-05 20:00:00,3.0,12.0,1.7,9.4,2.2,91.5,Night,coal
